#Sample	C2CD6	@Class	EFNA4	EGFR	KLRG2
GSM494666	3.8529	Control	6.8144	10.0816	7.1292
GSM494667	3.7048	Control	6.4957	10.6972	7.379
GSM494668	3.8594	Control	6.8497	10.0351	6.9091
GSM494669	3.8805	Control	7.1903	10.095	7.2575
GSM494670	3.6612	Control	6.0762	9.6313	6.9591
GSM494671	3.6438	Control	6.6527	9.2276	6.8116
GSM494672	3.6234	Control	6.85	9.1803	7.0798
GSM494673	3.4895	Control	6.5856	10.0413	6.571
GSM494674	3.5401	Control	6.796	10.1965	6.6354
GSM494675	3.6651	Control	6.7797	7.4897	5.7534
